0.000000 0.841471 0.909297 0.141120
0.005005 0.827688 0.919426 0.165848
0.010010 0.813386 0.928978 0.190472
0.015015 0.798576 0.937949 0.214976
0.020020 0.783265 0.946332 0.239347
0.025025 0.767463 0.954123 0.263567
0.030030 0.751181 0.961317 0.287622
0.035035 0.734429 0.967908 0.311497
0.040040 0.717217 0.973893 0.335177
0.045045 0.699555 0.979268 0.358647
0.050050 0.681456 0.984031 0.381892
0.055055 0.662929 0.988176 0.404899
0.060060 0.643988 0.991703 0.427651
0.065065 0.624643 0.994609 0.450136
0.070070 0.604907 0.996893 0.472339
0.075075 0.584793 0.998552 0.494247
0.080080 0.564312 0.999585 0.515844
0.085085 0.543478 0.999993 0.537119
0.090090 0.522303 0.999774 0.558058
0.095095 0.500802 0.998930 0.578646
0.100100 0.478986 0.997459 0.598873
0.105105 0.456871 0.995365 0.618725
0.110110 0.434470 0.992646 0.638189
0.115115 0.411796 0.989307 0.657253
0.120120 0.388865 0.985347 0.675906
0.125125 0.365690 0.980771 0.694136
0.130130 0.342287 0.975581 0.711930
0.135135 0.318668 0.969779 0.729280
0.140140 0.294851 0.963371 0.746172
0.145145 0.270848 0.956359 0.762597
0.150150 0.246676 0.948748 0.778545
0.155155 0.222350 0.940543 0.794005
0.160160 0.197884 0.931749 0.808967
0.165165 0.173295 0.922371 0.823424
0.170170 0.148597 0.912416 0.837364
0.175175 0.123806 0.901890 0.850780
0.180180 0.098937 0.890798 0.863664
0.185185 0.074006 0.879149 0.876006
0.190190 0.049029 0.866950 0.887800
0.195195 0.024022 0.854207 0.899038
0.200200 -0.001001 0.840930 0.909714
0.205205 -0.026023 0.827126 0.919819
0.210210 -0.051029 0.812804 0.929348
0.215215 -0.076003 0.797973 0.938296
0.220220 -0.100929 0.782642 0.946655
0.225225 -0.125792 0.766821 0.954422
0.230230 -0.150576 0.750520 0.961592
0.235235 -0.175266 0.733749 0.968159
0.240240 -0.199846 0.716519 0.974120
0.245245 -0.224302 0.698840 0.979471
0.250250 -0.248616 0.680723 0.984208
0.255255 -0.272775 0.662180 0.988329
0.260260 -0.296763 0.643222 0.991832
0.265265 -0.320565 0.623861 0.994713
0.270270 -0.344167 0.604110 0.996971
0.275275 -0.367553 0.583981 0.998605
0.280280 -0.390709 0.563485 0.999614
